id,place,state,lat,lon,radius_m,theme,interaction,terrain_note
1,San Francisco,CA,37.7749,-122.4194,10000,sunset,formation,bay peninsula, hills, bridges
2,San Jose,CA,37.3382,-121.8863,8000,blueprint,swarm,silicon valley grid
3,Oakland,CA,37.8044,-122.2711,7000,midnight_blue,dissolve,bay + industrial waterfront
4,Los Angeles,CA,34.0522,-118.2437,15000,neon_cyberpunk,swarm,coastal metro with freeways
5,Long Beach,CA,33.7701,-118.1937,8000,ocean,formation,harbor & shoreline
6,Santa Monica,CA,34.0195,-118.4912,5000,coastal,spiral,beachfront grid
7,Malibu,CA,34.0259,-118.7798,7000,sunset,dissolve,coastal cliffs
8,Pasadena,CA,34.1478,-118.1445,6000,terracotta,formation,radial boulevards
9,Palmdale,CA,34.5794,-118.1165,12000,monochrome_blue,swarm,desert-adjacent sprawl
10,Palm Springs,CA,33.8303,-116.5453,10000,desert,relax,desert resort grid
11,San Diego,CA,32.7157,-117.1611,12000,ocean,formation,coastal bay + beaches
12,La Jolla,CA,32.8328,-117.2713,6000,ocean,dissolve,rocky coastline
13,Monterey,CA,36.6002,-121.8947,8000,blueprint,formation,coastal peninsula & bay
14,Big Sur,CA,36.2704,-121.8081,15000,pastel_dream,swarm,dramatic coastline (cliffs)
15,Santa Cruz,CA,36.9741,-122.0308,8000,forest,formation,coastal + hills
16,Sacramento,CA,38.5816,-121.4944,12000,warm_beige,swarm,river confluence & grid
17,Redding,CA,40.5865,-122.3917,20000,emerald,dissolve,river + mountainous north
18,Truckee,CA,39.3270,-120.1833,10000,autumn,formation,mountain gateway near Tahoe
19,South Lake Tahoe,CA,38.9351,-119.9823,10000,forest,formation,lake + mountain
20,Yosemite (near),CA,37.8651,-119.5383,15000,forest,spiral,national park granite valleys
21,Los Angeles County — Hollywood,CA,34.0928,-118.3287,6000,neon_cyberpunk,swarm,urban entertainment district
22,San Bernardino,CA,34.1083,-117.2898,15000,monochrome_blue,dissolve,inland valley sprawl
23,Palos Verdes,CA,33.7446,-118.3870,7000,ocean,formation,coastal promontory
24,Santa Barbara,CA,34.4208,-119.6982,9000,terracotta,formation,coastal + mountains
25,Santa Fe,NM,35.6870,-105.9378,8000,terracotta,dissolve,high-desert + pueblos
26,Albuquerque,NM,35.0844,-106.6504,12000,contrast_zones,swarm,desert basin + grid
27,Taos,NM,36.4072,-105.5731,8000,autumn,formation,mountain town
28,Tucson,AZ,32.2226,-110.9747,12000,desert,swarm,sonoran desert + grid
29,Phoenix,AZ,33.4484,-112.0740,15000,sunrise,swarm,desert metro
30,Scottsdale,AZ,33.4942,-111.9261,10000,warm_beige,formation,resort suburbs
31,Flagstaff,AZ,35.1983,-111.6513,10000,forest,formation,pine forests + high desert
32,Grand Canyon (South Rim),AZ,36.1069,-112.1129,20000,blueprint,dissolve,canyon terrain
33,Las Vegas,NV,36.1699,-115.1398,15000,neon_cyberpunk,swarm,strip & desert
34,Reno,NV,39.5296,-119.8138,10000,monochrome_blue,formation,mountain basin
35,Sparks,NV,39.5406,-119.6830,8000,blueprint,swarm,riverfront + grid
36,Boise,ID,43.6150,-116.2023,12000,forest,formation,river valley & hills
37,Portland,OR,45.5051,-122.6750,12000,emerald,formation,river confluence & bridges
38,Salem,OR,44.9429,-123.0351,10000,warm_beige,swarm,agriculture + small city
39,Eugene,OR,44.0521,-123.0868,8000,forest,dissolve,river valley + universities
40,Coos Bay,OR,43.3665,-124.2179,10000,ocean,formation,coastal estuary
41,Seattle,WA,47.6062,-122.3321,12000,midnight_blue,swarm,peninsula & waterways
42,Spokane,WA,47.6588,-117.4260,12000,forest,formation,river + inland city
43,Wenatchee,WA,47.4235,-120.3103,8000,autumn,formation,apple orchards + river
44,Olympia,WA,47.0379,-122.9007,8000,ocean,formation,capitol + harbor
45,Friday Harbor (San Juan Is.),WA,48.5458,-123.0126,6000,ocean,dissolve,islands & channels
46,Anchorage,AK,61.2181,-149.9003,20000,monochrome_blue,formation,coastal + mountains
47,Juneau,AK,58.3019,-134.4197,15000,ocean,dissolve,coastal fjords
48,Fairbanks,AK,64.8378,-147.7164,20000,autumn,formation,interior arctic environments
49,Honolulu,HI,21.3069,-157.8583,10000,ocean,formation,tropical island city
